5265.82049 16.978 0.013
5266.80405 16.991 0.013
5267.79485 17.061 0.014
5268.83428 17.161 0.014
5269.78049 17.257 0.015
5270.76957 17.147 0.015
5271.85192 16.960 0.013
5272.76584 17.092 0.017
5273.82484 16.919 0.012
5274.79060 16.917 0.013
5275.83746 16.954 0.014
5276.77221 16.926 0.013
5276.89968 17.220 0.014
5277.80858 17.010 0.016
5278.78021 17.044 0.016
5279.78787 17.174 0.020
5280.87128 17.009 0.012
5281.77437 17.160 0.015
5281.90917 16.905 0.011
5282.78682 17.078 0.014
5283.73756 17.134 0.020
5284.89001 16.959 0.014
5285.73894 16.955 0.017
5286.74333 16.920 0.014
5287.75247 16.891 0.013
5288.72900 16.919 0.014
5292.79663 17.064 0.013
5293.80741 16.980 0.013
5295.83107 16.917 0.011
5297.90646 17.150 0.013
5300.84807 17.225 0.014
5304.75709 17.121 0.016
5307.75686 16.903 0.013
5309.82898 17.148 0.014
5311.91652 16.954 0.014
5313.93265 16.905 0.020
5315.80644 16.948 0.014
5320.93426 17.052 0.020
5324.72517 17.203 0.016
5325.83475 16.891 0.013
5327.64996 17.151 0.013
5328.83780 16.945 0.012
5335.74126 17.255 0.016
5337.84249 16.901 0.014
5339.88736 17.142 0.027
5341.69254 16.907 0.013
5342.78538 17.106 0.019
5343.81390 17.138 0.021
5349.59730 17.146 0.018
5351.92125 17.172 0.023
5354.76171 17.134 0.015
5358.70212 17.152 0.014
5364.57432 16.998 0.013
5369.84450 16.914 0.018
5379.57900 16.965 0.013
5381.68045 17.078 0.016
5386.76211 17.195 0.013
5390.53254 16.903 0.014
5393.68379 16.952 0.014
5402.52422 16.971 0.020
5402.66426 17.140 0.020
5403.70450 16.966 0.013
5407.64428 16.925 0.016
5410.77111 17.120 0.018
5416.65394 16.938 0.014
5426.69780 16.909 0.017
5435.63971 17.120 0.016
5444.56040 16.988 0.014
5449.63492 16.912 0.014
5458.49797 17.137 0.017
5467.52773 17.039 0.013
5473.59014 16.920 0.016
5483.52908 16.957 0.023
5485.51771 16.922 0.017
5495.51732 16.919 0.016
5601.85022 16.929 0.014
5604.85158 16.940 0.016
5605.84767 17.036 0.013
5606.84686 17.107 0.014
5607.85079 17.191 0.016
5608.83490 17.118 0.020
5611.83665 16.964 0.017
5612.84557 16.887 0.013
5613.85401 16.892 0.018
5615.83593 16.963 0.012
5616.83162 17.085 0.020
5621.82340 16.910 0.013
5622.77895 17.113 0.014
5624.76777 16.960 0.012
5626.82663 16.938 0.014
5628.76731 16.948 0.017
5629.76321 17.004 0.014
5631.78940 17.232 0.020
5632.85726 16.928 0.011
5633.75557 17.176 0.013
5634.90801 16.953 0.016
5635.78517 16.933 0.015
5637.76320 16.909 0.017
5638.89638 17.248 0.014
5639.76318 16.956 0.014
5641.80425 17.147 0.014
5647.74329 16.905 0.012
5648.88967 17.130 0.014
5653.78417 17.217 0.012
5657.92834 17.119 0.022
5662.80200 17.222 0.013
5667.89986 17.027 0.011
5675.71423 17.203 0.015
5679.79665 16.926 0.013
5682.78434 17.103 0.013
5686.69917 17.222 0.014
5691.84509 17.129 0.013
5694.74161 17.072 0.014
5696.93122 16.915 0.015
5702.57862 17.107 0.020
5702.75901 16.938 0.020
5706.74615 17.211 0.017
5709.58956 16.982 0.010
5715.76832 17.163 0.012
5722.71872 16.913 0.011
5725.71740 16.960 0.011
5734.81559 17.025 0.019
5737.70315 16.996 0.011
5740.53671 16.894 0.012
5742.57047 17.034 0.014
5745.61882 17.022 0.013
5748.61071 16.916 0.012
5760.47105 17.062 0.019
5764.75334 16.892 0.011
5768.70163 16.952 0.010
5777.52864 17.158 0.012
5783.61276 17.055 0.026
5784.47911 16.922 0.016
5784.61025 17.090 0.014
5785.64523 17.194 0.020
5790.47869 17.168 0.016
